ヤンマーの創業者山岡孫吉が農業用の石油エンジンを製造した時、豊作を象徴する「トンボ印」という製品商標を考えつきましたが、既に他のメーカーが商標権を取得していました。その商標は、何の食品の関係で使われていました？,醤油,食用油,うどん,お茶,ja
When was Yanmar founded?,1912,1952,1932,1972,en
Who is Yanmar's president?,Takehito Yamaoka,Ted Breggar,Yasuyuki Yamaoka,Geert Mantel,en
Which of the following has Yanmar never made?,bicycles,golf carts,tractors,snow clearers,en
"Yanmar's first engine, the OOOO, ran on...",kerosene,gasolene,diesel,parrafin,en
The name Yanmar comes from...,a kind of dragonfly,a kind of deer,a kind of frog,a kind of firefly,en
"Yanmar Co., Ltd. headquarters is in...",Osaka,Tokyo,Nagoya,Nagahama,en
Yanmar's Japan R & D Center is located in...,Nagahama,Osaka,Tokyo,Nagoya,en
The Yanmar Museum opened in...,March 2013,February 2013,March 2012,February 2012,en
Yanmar's mascots are...,Yanboh & Marboh,Tom & Jerry,Plus & Minus,Dig & Dug,en
When were the Yanboh & Marboh mascots' weather forecasts launched?,1959,1969,1949,1979,en
Yanmar's first overseas subsidiary was...,Yanmar Diesel Do Brasil Ltda.,Yanmar Diesel Indonesia,"Yanmar Thailand Co., Ltd.",Amman-Yanmar S.A.,en
"In 1955, Magokichi Yamaoka was awarded the Diesel Gold Medal by the...",German Inventors' Association,Japanese Institute of Invention and Innovation,German Ministry of Trade and Commerce,Augsburg Chamber of Commerce,en
"In 1955, the German Inventors' Association awarded Magokichi Yamaoka the...",Diesel Gold Medal,Demming Prize,Cross of the Order of Merit,Award of Excellence,en
Magokichi Yamaoka was awarded the Diesel Gold Medal in what year?,1955,1945,1950,1960,en
The diesel engine was invented in 1892 by Dr. Rudolf Diesel working in this German city.,Augsberg,Berlin,Stuttgart,Leipzig,en
"Dr. Rudolf Diesel invented the diesel engine in Augsburg, Germany. What year did he invent it?",1892,1992,1902,1922,en
Who invented the diesel engine?,Dr. Rudolf Diesel,Dr. Randal Diesel,Dr. Friedrich Diesel,Dr. Theodore Diesel,en
Yanmar's founder Magokichi Yamaoka saw his first diesel engine here.,Leipzig Trade Fair,San Francisco World Expo,Frankfurt Trade Fair,London World Expo,en
"These Japanese cities have a sister-city relationship with Augsburg, Germany, the home of the diesel engine.",Nagahama and Amagasaki,Nagasaki and Amagasaki,Nagahama and Osaka,Maibara and Amagasaki,en
What does a combine do?,harvesting,planting,weeding,soil preparation,en
What task is a tractor not suited to?,harvesting,carrying,lifting,tilling,en
Which is NOT a past or present name of Yanmar?,YANMAR HATSUDOKI,YANMAR DIESEL,YAMAOKA HATSUDOKI KOSAKUSHO,YAMAOKA NAINENKI,en
Yanmar's Brand Statement is...,Solutioneering Together,Engineering Together,Solutioneering Tomorrow,Solutions for Today,en
"In July 2007 Yanmar became Yanmar Co., Ltd. How many names has the company had since it was founded?",3,4,2,5,en
"When Yanmar was founded, it was known as...",YAMAOKA HATSUDOKI KOSAKUSHO,YANMAR DIESEL,YANMAR KOSAKUSHO,YAMAOKA NAINENKI,en
"On December 23, 1933 this engine, the world's first small diesel engine was invented.",HB model,HA model,NT model,S model,en
Which is not a process used to make parts?,singeing,quenching,grinding,pressing,en
2014年に、このヤンマーの子会社は25周年を迎える。,ヤンマーヨーロッパ,ヤンマーブラジル,ヤンマーインドネジア,ヤンマー韓国,ja
CHINESE sample Chinese question, CN CORRECT CN, CN Option1 CN, CN Option2 CN, CN Option3 CN, cn
